,website,url,headline,entities
38,NBC,https://www.nbcnews.com/health/coronavirus,L.A. Lakers return $4.6M in federal relief aid,"[('L.A. Lakers', 'ORG'), ('$4.6M', 'MONEY')]"
39,NBC,https://www.nbcnews.com/health/coronavirus,Trump: Federal govt. shouldn't rescue states and cities struggling under pandemic,[]
40,NBC,https://www.nbcnews.com/health/coronavirus,"As most remain home, some states begin to slowly reopen",[]
41,NBC,https://www.nbcnews.com/health/coronavirus,"In Detroit, grief runs deep as city grapples with COVID-19","[('Detroit', 'GPE')]"
42,NBC,https://www.nbcnews.com/health/coronavirus,Pelosi says Democrats will push for mail-in voting in next relief package,"[('Pelosi', 'ORG'), ('Democrats', 'NORP')]"
43,NBC,https://www.nbcnews.com/health/coronavirus,'Another pandemic': Domestic abuse calls spike in Latin America,"[('Latin America', 'LOC')]"
44,NBC,https://www.nbcnews.com/health/coronavirus,Nursing home industry pushes for legal immunity during COVID-19 emergency,[]
45,NBC,https://www.nbcnews.com/health/coronavirus,Tyson Foods chairman warns: 'The food supply chain is breaking',"[('Tyson Foods', 'ORG')]"
46,NBC,https://www.nbcnews.com/health/coronavirus,Doctor prevented from seeing kids after husband said she posed coronavirus threat,[]
47,NBC,https://www.nbcnews.com/health/coronavirus,"As 'quarantine fatigue' sets in, more people venturing out, study finds",[]
48,NBC,https://www.nbcnews.com/health/coronavirus,Automakers adjust to 'new normal' as they prepare to reopen plants,[]
49,NBC,https://www.nbcnews.com/health/coronavirus,"His fight with virus is over, but British PM warns country now is time of 'maximum risk'","[('British', 'NORP')]"
50,NBC,https://www.nbcnews.com/health/coronavirus,"Grieving is hard, but new text service means you don't have to do it alone",[]
51,NBC,https://www.nbcnews.com/health/coronavirus,Coronavirus may be strike three for the Burlington Bees,"[('three', 'CARDINAL'), ('the Burlington Bees', 'PRODUCT')]"
52,NBC,https://www.nbcnews.com/health/coronavirus,Ballot initiatives struggle to qualify for 2020 election,"[('2020', 'DATE')]"
53,NBC,https://www.nbcnews.com/health/coronavirus,"Louisiana pastor, while on house arrest, again defies coronavirus order with church service","[('Louisiana', 'GPE')]"
54,NBC,https://www.nbcnews.com/health/coronavirus,Governors urge Trump to keep briefings 'fact-based' after disinfectant comments,"[('Trump', 'ORG')]"
55,NBC,https://www.nbcnews.com/health/coronavirus,Spanish flu-era diaries give Ohio family hope,"[('Spanish', 'NORP'), ('Ohio', 'GPE')]"
56,NBC,https://www.nbcnews.com/health/coronavirus,Small businesses say they need more than 2 months of help to survive coronavirus crisis,"[('more than 2 months', 'DATE')]"
57,NBC,https://www.nbcnews.com/health/coronavirus,Rolling Stones coronavirus lockdown single 'Living in a Ghost Town' hits No. 1 on iTunes,"[('1', 'CARDINAL'), ('iTunes', 'ORG')]"
58,NBC,https://www.nbcnews.com/health/coronavirus,"As Dr. Fauci, Brad Pitt diagnoses Trump on 'SNL'","[('Fauci', 'PERSON'), ('Brad Pitt', 'PERSON'), ('Trump', 'PERSON'), ('SNL', 'ORG')]"
59,NBC,https://www.nbcnews.com/health/coronavirus,"'Outrageous,' 'irresponsible': Governors slam McConnell over bankruptcy comments","[('slam McConnell', 'PERSON')]"
60,NBC,https://www.nbcnews.com/health/coronavirus,Birx: U.S. needs a 'breakthrough' on antigen testing to aid in reopening,"[('Birx', 'GPE'), ('U.S.', 'GPE')]"
61,NBC,https://www.nbcnews.com/health/coronavirus,Critics say police target minorities more than white protesters over social distancing,[]
62,NBC,https://www.nbcnews.com/health/coronavirus,Kids miss more than just class with schools closed. How can you help them adjust?,[]
63,NBC,https://www.nbcnews.com/health/coronavirus,"VA has provided few answers around agency's virus study, veteran advocates say","[('VA', 'GPE')]"
